ElementADD,128,768,768,1
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,128
MatMul,768,128,128,768
MatMul,128,768,768,3072
MatMul,128,3072,3072,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,128
MatMul,768,128,128,768
MatMul,128,768,768,3072
MatMul,128,3072,3072,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,128
MatMul,768,128,128,768
MatMul,128,768,768,3072
MatMul,128,3072,3072,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,128
MatMul,768,128,128,768
MatMul,128,768,768,3072
MatMul,128,3072,3072,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,128
MatMul,768,128,128,768
MatMul,128,768,768,3072
MatMul,128,3072,3072,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,128
MatMul,768,128,128,768
MatMul,128,768,768,3072
MatMul,128,3072,3072,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,128
MatMul,768,128,128,768
MatMul,128,768,768,3072
MatMul,128,3072,3072,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,128
MatMul,768,128,128,768
MatMul,128,768,768,3072
MatMul,128,3072,3072,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,128
MatMul,768,128,128,768
MatMul,128,768,768,3072
MatMul,128,3072,3072,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,128
MatMul,768,128,128,768
MatMul,128,768,768,3072
MatMul,128,3072,3072,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,128
MatMul,768,128,128,768
MatMul,128,768,768,3072
MatMul,128,3072,3072,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,768
MatMul,128,768,768,128
MatMul,768,128,128,768
MatMul,128,768,768,3072
MatMul,128,3072,3072,768
